location,PercentualPopulacao
Andorra,7.600817224579603
Montenegro,6.231348262801412
"San Marino",6.174345549863143
Czechia,5.663826827978126
Bahrain,5.111716122888626
Luxembourg,4.722024557276311
Qatar,4.283484274278229
Israel,4.231837583875447
Panama,4.200430192431739
Slovenia,4.148941867946744
"United States",4.135061251104258
Belgium,3.634467157790581
Serbia,3.603534963127804
Netherlands,3.4990940159840926
Armenia,3.4777816586193158
Lithuania,3.459203194506845
Sweden,3.449710950166919
Portugal,3.407865246461883
Switzerland,3.287313377928186
Liechtenstein,3.2756096764168205
Georgia,3.2418088522771824
Spain,3.2246009585141944
Brazil,3.1266835631022594
Croatia,3.1156416957981334
Kuwait,3.080315284635163
Maldives,3.0740266174835043
Chile,3.0122277014856227
France,2.982298948255487
"North Macedonia",2.8362747947173257
Austria,2.715670424687246
Hungary,2.70862128725685
Estonia,2.6973085164363377
"United Kingdom",2.686939654913676
"North America",2.685565557288964
Lebanon,2.679174125280092
Moldova,2.669693149994126
Colombia,2.6459350490597084
Slovakia,2.633073623185369
Argentina,2.632082160388705
Poland,2.6220403009879965
"South America",2.6143273325239442
"European Union",2.5298523635709222
Italy,2.5063962670794533
Malta,2.487926332338409
Cyprus,2.424011541072426
"Costa Rica",2.418311188296619
"Bosnia and Herzegovina",2.4174511078079175
Peru,2.4085096910470423
Vatican,2.396903152293888
Monaco,2.3613055032802897
Jordan,2.348216108924454
Seychelles,2.343679132171451
Europe,2.2650687191125614
Romania,2.2257845489667294
Ireland,2.1679084421766994
Latvia,2.14232766450831
Kosovo,2.1373272312707297
Palestine,2.1351651194648857
Bulgaria,2.1311386044165688
"United Arab Emirates",2.0398023329960226
Oman,2.03158247124121
Turkey,2.0003732741377798
"Cape Verde",1.936996140509312
Ukraine,1.838544034547576
Denmark,1.768345479654783
Uruguay,1.7674464069288318
Belarus,1.7196559772646518
Albania,1.7190240668835277
Belize,1.5380071053614828
Paraguay,1.5174004926838696
Germany,1.4877054503555296
Russia,1.4713106588226252
Bahamas,1.378585651853711
Bolivia,1.356465999002225
