date,total_cases,total_deaths,PercentMortes
2020-01-01,0,0,NULL
2020-01-02,0,0,NULL
2020-01-03,0,0,NULL
2020-01-04,0,0,NULL
2020-01-05,0,0,NULL
2020-01-06,0,0,NULL
2020-01-07,0,0,NULL
2020-01-08,0,0,NULL
2020-01-09,0,0,NULL
2020-01-10,0,0,NULL
2020-01-11,0,0,NULL
2020-01-12,0,0,NULL
2020-01-13,0,0,NULL
2020-01-14,0,0,NULL
2020-01-15,0,0,NULL
2020-01-16,0,0,NULL
2020-01-17,0,0,NULL
2020-01-18,0,0,NULL
2020-01-19,0,0,NULL
2020-01-20,0,0,NULL
2020-01-21,0,0,NULL
2020-01-22,0,0,NULL
2020-01-23,294,3,1.0204081632653061
2020-01-24,860,24,2.7906976744186047
2020-01-25,1477,48,3.2498307379823967
2020-01-26,2055,42,2.0437956204379564
2020-01-27,2428,78,3.2125205930807246
2020-01-28,7957,147,1.847429935905492
2020-01-29,1769,6,0.3391746749576032
2020-01-30,6204,114,1.83752417794971
2020-01-31,5079,126,2.4808033077377436
2020-02-01,6339,138,2.1769995267392335
2020-02-02,14249,309,2.168573233209348
2020-02-03,9302,192,2.0640722425284883
2020-02-04,12034,198,1.6453382084095063
2020-02-05,11235,216,1.9225634178905209
2020-02-06,9480,210,2.2151898734177213
2020-02-07,10720,255,2.378731343283582
2020-02-08,8207,261,3.180212014134275
2020-02-09,9089,300,3.3006931455605675
2020-02-10,7756,321,4.138731304796287
2020-02-11,6128,300,4.89556135770235
2020-02-12,1214,15,1.2355848434925865
2020-02-13,45459,759,1.669636375635188
2020-02-14,19538,456,2.3339133995291226
2020-02-15,6363,430,6.757818639006757
2020-02-16,6479,312,4.815557956474765
2020-02-17,6006,294,4.895104895104895
2020-02-18,5558,420,7.5566750629722925
2020-02-19,1421,345,24.278676988036594
2020-02-20,1667,373,22.375524895020995
2020-02-21,1904,13,0.6827731092436975
2020-02-22,5325,622,11.68075117370892
2020-02-23,1176,33,2.806122448979592
2020-02-24,1766,484,27.40656851642129
2020-02-25,2662,243,9.12847483095417
2020-02-26,3075,185,6.016260162601626
2020-02-27,4330,134,3.094688221709007
2020-02-28,4442,179,4.029716343989194
2020-02-29,6021,215,3.5708354094004315
2020-03-01,7850,167,2.127388535031847
2020-03-02,6443,286,4.43892596616483
2020-03-03,8385,254,3.0292188431723313
2020-03-04,7794,314,4.028740056453682
2020-03-05,9745,327,3.3555669574140587
2020-03-06,13289,390,2.934758070584694
2020-03-07,14285,360,2.5201260063003152
2020-03-08,14212,865,6.086405854207712
2020-03-09,15435,686,4.444444444444445
2020-03-10,17234,1007,5.843100847162585
2020-03-11,27637,1269,4.591670586532547
2020-03-12,20646,1114,5.3957182989441055
2020-03-13,53324,1861,3.4899857475058136
2020-03-14,40633,1524,3.7506460266286026
2020-03-15,41167,2391,5.808050137245853
2020-03-16,54601,2525,4.624457427519642
2020-03-17,57830,3028,5.23603665917344
2020-03-18,71160,3334,4.685216413715571
2020-03-19,97983,18446744073709555755,1.882647405540712e16
2020-03-20,109816,5599,5.098528447585051
2020-03-21,114690,18446744073709558137,1.608400390069715e16
2020-03-22,121915,6335,5.196243284255424
2020-03-23,150768,7318,4.853815133184761
2020-03-24,143882,8556,5.946539525444462
2020-03-25,179532,10469,5.831272419401555
2020-03-26,219756,18446744073709562818,8.394193593671873e15
2020-03-27,225726,12822,5.680338109034848
2020-03-28,233699,13673,5.850688278512103
2020-03-29,203022,12868,6.338229354454198
2020-03-30,222236,14863,6.687935348008424
2020-03-31,260947,17051,6.534277075421446
2020-04-01,278248,21533,7.738779793565452
2020-04-02,277525,20753,7.477884875236465
2020-04-03,280958,21948,7.811843763124737
2020-04-04,181053,36893488147419123957,2.0377175825542316e16
